sample_id,site_id,run_accession,latitude,longitude,collected_at,instrument,read_count,source_project
BR-MTP-MARTAPURA-RIVER-ST01-01,MARTAPURA-RIVER-ST01,SRR37521665,-3.326704,114.978998,2025-08,Illumina iSeq 100,275512,PRJNA1433820
BR-MTP-SOUTH-KALIMANTAN-ST02-01,SOUTH-KALIMANTAN-ST02,SRR37521670,-3.520726,115.008457,2025-08,Illumina iSeq 100,190415,PRJNA1433820
BR-MTP-MARTAPURA-RIVER-ST03-01,MARTAPURA-RIVER-ST03,SRR37521668,-3.485547,114.975589,2025-08,Illumina iSeq 100,308819,PRJNA1433820
BR-MTP-SOUTH-KALIMANTAN-ST04-01,SOUTH-KALIMANTAN-ST04,SRR37521672,-3.405272,114.789995,2025-08,Illumina iSeq 100,232450,PRJNA1433820
BR-MTP-SOUTH-KALIMANTAN-ST05-01,SOUTH-KALIMANTAN-ST05,SRR37521674,-3.425271,114.853593,2025-08,Illumina iSeq 100,223378,PRJNA1433820
BR-MTP-MARTAPURA-RIVER-ST06-01,MARTAPURA-RIVER-ST06,SRR37521666,-3.409259,114.91485,2025-08,Illumina iSeq 100,187358,PRJNA1433820
BR-MTP-MARTAPURA-RIVER-ST07-01,MARTAPURA-RIVER-ST07,SRR37521667,-3.456291,114.962004,2025-08,Illumina iSeq 100,211573,PRJNA1433820
BR-MTP-MARTAPURA-RIVER-ST08-01,MARTAPURA-RIVER-ST08,SRR37521669,-3.511955,114.999447,2025-08,Illumina iSeq 100,256802,PRJNA1433820
BR-MTP-SOUTH-KALIMANTAN-ST09-01,SOUTH-KALIMANTAN-ST09,SRR37521671,-3.38025,114.781558,2025-08,Illumina iSeq 100,210056,PRJNA1433820
BR-MTP-MARTAPURA-RIVER-ST10-01,MARTAPURA-RIVER-ST10,SRR37521673,-3.353281,114.944719,2025-08,Illumina iSeq 100,260936,PRJNA1433820
BR-MTP-SOUTH-KALIMANTAN-ST11-01,SOUTH-KALIMANTAN-ST11,SRR37521675,-3.457223,114.949382,2025-08,Illumina iSeq 100,211616,PRJNA1433820
