site_id,site_name,state,waterbody,waterbody_type,latitude,longitude,protected_status,notes
MARTAPURA-RIVER-ST01,Indonesia: Martapura River,,,freshwater metagenome,-3.326704,114.978998,unknown,from PRJNA1433820
SOUTH-KALIMANTAN-ST02,Indonesia: South Kalimantan,,,freshwater metagenome,-3.520726,115.008457,unknown,from PRJNA1433820
MARTAPURA-RIVER-ST03,Indonesia: Martapura River,,,freshwater metagenome,-3.485547,114.975589,unknown,from PRJNA1433820
SOUTH-KALIMANTAN-ST04,Indonesia: South Kalimantan,,,freshwater metagenome,-3.405272,114.789995,unknown,from PRJNA1433820
SOUTH-KALIMANTAN-ST05,Indonesia: South Kalimantan,,,freshwater metagenome,-3.425271,114.853593,unknown,from PRJNA1433820
MARTAPURA-RIVER-ST06,Indonesia: Martapura River,,,freshwater metagenome,-3.409259,114.91485,unknown,from PRJNA1433820
MARTAPURA-RIVER-ST07,Indonesia: Martapura River,,,freshwater metagenome,-3.456291,114.962004,unknown,from PRJNA1433820
MARTAPURA-RIVER-ST08,Indonesia: Martapura River,,,freshwater metagenome,-3.511955,114.999447,unknown,from PRJNA1433820
SOUTH-KALIMANTAN-ST09,Indonesia: South Kalimantan,,,freshwater metagenome,-3.38025,114.781558,unknown,from PRJNA1433820
MARTAPURA-RIVER-ST10,Indonesia: Martapura River,,,freshwater metagenome,-3.353281,114.944719,unknown,from PRJNA1433820
SOUTH-KALIMANTAN-ST11,Indonesia: South Kalimantan,,,freshwater metagenome,-3.457223,114.949382,unknown,from PRJNA1433820
